State,Program,College/University,Years Post Grad,Cohort,Average Earnings
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO DENVER,10,2004,"$104,281.33 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2001,"$104,250.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-EL PASO,10,2001,"$104,091.00 "
TX,ARCHITECTURAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$103,925.00 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,10,2001,"$103,569.67 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,1,2007,"$103,405.67 "
CO,MATHEMATICS,COLORADO SCHOOL OF MINES,10,1998,"$103,026.67 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,10,2004,"$102,792.67 "
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$102,682.67 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,2001,"$102,664.00 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS SOUTHWESTERN MED CTR,5,2001,"$102,266.67 "
CO,ECONOMICS,COLORADO SCHOOL OF MINES,10,2001,"$102,011.00 "
TX,ECONOMICS,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$101,770.33 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2007,"$101,663.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,10,2001,"$101,645.33 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,10,2004,"$101,611.33 "
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,2004,"$101,589.00 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS MEDICAL BRANCH,10,2001,"$101,505.67 "
CO,"ENGINEERING, GENERAL",COLORADO SCHOOL OF MINES,10,2004,"$101,280.67 "
CO,APPLIED MATHEMATICS,UNIVERSITY OF COLORADO-BOULDER,10,2004,"$101,099.00 "
CO,CHEMICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,2004,"$101,001.33 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",COLORADO STATE UNIVERSITY,10,1998,"$100,857.33 "
TX,COMPUTER ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2004,"$100,644.33 "
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,1998,"$100,183.67 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,1,2010,"$99,947.67 "
CO,"ENGINEERING, GENERAL",COLORADO SCHOOL OF MINES,10,1998,"$99,650.00 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,"$99,197.00 "
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2007,"$99,196.67 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$99,023.00 "
TX,COMPUTER ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,"$98,988.33 "
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,2001,"$98,784.33 "
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,10,2001,"$98,758.33 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,1,2013,"$98,465.00 "
TX,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$98,428.33 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO DENVER,10,1998,"$98,265.33 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIV OF COLORADO AT COLO SPRINGS,10,1998,"$98,018.00 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",COLORADO STATE UNIVERSITY,10,1998,"$97,954.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,"$97,918.33 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,"$97,651.33 "
CO,ECONOMICS,COLORADO SCHOOL OF MINES,10,2004,"$97,619.33 "
CO,APPLIED MATHEMATICS,UNIVERSITY OF COLORADO-BOULDER,10,2001,"$97,594.67 "
CO,MECHANICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,2001,"$97,466.67 "
CO,"ENGINEERING, GENERAL",COLORADO SCHOOL OF MINES,10,2001,"$97,287.67 "
TX,MARKETING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$97,239.67 "
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,1,2004,"$97,231.00 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,10,2004,"$97,096.00 "
CO,METALLURGICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,1998,"$97,052.33 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$97,048.33 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",COLORADO STATE UNIVERSITY,10,2004,"$96,896.67 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2001,"$96,880.67 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO-BOULDER,10,2004,"$96,875.33 "
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2004,"$96,874.33 "
CO,COMPUTER SCIENCE,UNIVERSITY OF COLORADO DENVER,10,1998,"$96,738.33 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$96,707.33 "
