State,Program,College/University,Years Post Grad,Cohort,Average Earnings
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,1,2004,"$43,430.67 "
TX,RHETORIC AND COMPOSITION/WRITING STUDIES,UNIVERSITY OF TEXAS-ARLINGTON,1,2001,"$43,416.67 "
TX,HISTORY,UNIVERSITY OF TEXAS AT TYLER,5,2007,"$43,408.67 "
CO,SOCIOLOGY,FORT LEWIS COLLEGE,10,2001,"$43,407.00 "
TX,FINE AND STUDIO ARTS,UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$43,349.00 "
TX,FINE AND STUDIO ARTS,UNIVERSITY OF TEXAS-ARLINGTON,5,2007,"$43,347.67 "
CO,JOURNALISM,COLORADO STATE UNIVERSITY,5,2007,"$43,347.00 "
CO,"BIOLOGY, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,5,2004,"$43,340.00 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2007,"$43,338.67 "
CO,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF NORTHERN COLORADO,5,2007,"$43,337.67 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-EL PASO,1,2007,"$43,330.00 "
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS - BROWNSVILLE,10,2001,"$43,322.67 "
CO,CRIMINAL JUSTICE AND CORRECTIONS,METROPOLITAN STATE UNIVERSITY OF DENVER,1,1998,"$43,319.33 "
CO,"PSYCHOLOGY, GENERAL",UNIVERSITY OF COLORADO-BOULDER,5,2001,"$43,318.67 "
CO,COMMUNICATION AND MEDIA STUDIES,COLORADO STATE UNIVERSITY,5,2007,"$43,317.33 "
CO,SOCIOLOGY,WESTERN STATE COLORADO UNIVERSITY,5,1998,"$43,313.67 "
CO,HISTORY,COLORADO MESA UNIVERSITY,5,1998,"$43,311.00 "
CO,"PSYCHOLOGY, GENERAL",COLORADO MESA UNIVERSITY,10,2004,"$43,285.00 "
TX,ANTHROPOLOGY,UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$43,282.00 "
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2001,"$43,278.33 "
TX,SOCIOLOGY,UNIVERSITY OF TEXAS AT DALLAS,1,2001,"$43,272.33 "
TX,"HUMAN DEVELOPMENT, FAMILY STUDIES, AND RELATED SERVICES",UNIVERSITY OF TEXAS-ARLINGTON,1,2010,"$43,258.67 "
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF COLORADO-BOULDER,5,2001,"$43,256.33 "
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,5,2004,"$43,255.33 "
TX,SOCIOLOGY,UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2001,"$43,254.67 "
CO,"SOCIAL SCIENCES, GENERAL",COLORADO STATE UNIVERSITY-PUEBLO,10,2004,"$43,253.67 "
TX,HISTORY,UNIVERSITY OF TEXAS AT TYLER,5,2004,"$43,253.33 "
TX,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,"$43,237.67 "
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",WESTERN STATE COLORADO UNIVERSITY,10,1998,"$43,224.00 "
TX,FINE AND STUDIO ARTS,UNIVERSITY OF TEXAS-ARLINGTON,5,2004,"$43,221.67 "
CO,MUSIC,UNIVERSITY OF COLORADO DENVER,5,1998,"$43,218.33 "
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,COLORADO MESA UNIVERSITY,5,2007,"$43,216.33 "
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF COLORADO DENVER,5,1998,"$43,195.00 "
CO,"BIOLOGY, GENERAL",METROPOLITAN STATE UNIVERSITY OF DENVER,5,2007,"$43,193.67 "
CO,SOCIOLOGY,UNIVERSITY OF COLORADO-BOULDER,5,2001,"$43,167.33 "
TX,SOCIOLOGY,UNIVERSITY OF TEXAS AT DALLAS,5,2007,"$43,166.00 "
CO,"BUSINESS/COMMERCE, GENERAL",ADAMS STATE COLLEGE,5,2007,"$43,147.33 "
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2004,"$43,142.67 "
CO,HISTORY,WESTERN STATE COLORADO UNIVERSITY,10,2001,"$43,140.00 "
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIV OF TEXAS SOUTHWESTERN MED CTR,1,2004,"$43,137.67 "
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2001,"$43,128.67 "
CO,CHEMISTRY,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2007,"$43,125.67 "
TX,"LINGUISTIC, COMPARATIVE, AND RELATED LANGUAGE STUDIES AND SERVICES",UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$43,122.33 "
CO,COMMUNICATION DISORDERS SCIENCES AND SERVICES,UNIVERSITY OF COLORADO-BOULDER,5,1998,"$43,116.33 "
CO,"PSYCHOLOGY, GENERAL",METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,"$43,115.00 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS AT TYLER,1,2004,"$43,108.33 "
CO,DIETETICS AND CLINICAL NUTRITION SERVICES,COLORADO STATE UNIVERSITY,5,2001,"$43,105.00 "
CO,ANTHROPOLOGY,METROPOLITAN STATE UNIVERSITY OF DENVER,10,2001,"$43,100.00 "
TX,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",UNIVERSITY OF TEXAS-AUSTIN,1,2004,"$43,098.00 "
TX,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF TEXAS-AUSTIN,1,2001,"$43,097.00 "
TX,SOCIAL WORK,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,"$43,092.33 "
CO,"PSYCHOLOGY, GENERAL",COLORADO STATE UNIVERSITY-PUEBLO,10,2001,"$43,080.33 "
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,1,2001,"$43,068.33 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-EL PASO,1,2004,"$43,061.00 "
CO,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF NORTHERN COLORADO,5,2001,"$43,052.67 "
CO,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",FORT LEWIS COLLEGE,10,2004,"$43,049.33 "
CO,"PSYCHOLOGY, GENERAL",UNIVERSITY OF COLORADO DENVER,5,1998,"$43,048.33 "
TX,HEALTH AND PHYSICAL EDUCATION/FITNESS,UNIVERSITY OF TEXAS - BROWNSVILLE,5,2007,"$43,046.00 "
CO,HISTORY,COLORADO STATE UNIVERSITY-PUEBLO,10,2001,"$43,035.00 "
CO,POLITICAL SCIENCE AND GOVERNMENT,FORT LEWIS COLLEGE,5,2001,"$43,034.67 "
CO,"PSYCHOLOGY, GENERAL",COLORADO STATE UNIVERSITY-PUEBLO,10,1998,"$43,025.33 "
TX,CHEMISTRY,UNIVERSITY OF TEXAS-AUSTIN,1,2007,"$43,014.00 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-EL PASO,1,2001,"$43,011.33 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2010,"$42,999.67 "
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-EL PASO,1,2013,"$42,998.00 "
CO,"SOCIAL SCIENCES, OTHER",METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,"$42,988.67 "
TX,COMMUNICATION DISORDERS SCIENCES AND SERVICES,UNIVERSITY OF TEXAS AT DALLAS,1,2010,"$42,985.33 "
CO,HEALTH PROFESSIONS AND RELATED PROGRAMS,UNIVERSITY OF NORTHERN COLORADO,5,2007,"$42,972.33 "
CO,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF COLORADO DENVER,5,2007,"$42,962.00 "
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",METROPOLITAN STATE UNIVERSITY OF DENVER,10,2004,"$42,961.67 "
TX,SOCIOLOGY,UNIVERSITY OF TEXAS AT DALLAS,5,2004,"$42,959.33 "
TX,JOURNALISM,UNIVERSITY OF TEXAS AT TYLER,5,2007,"$42,955.00 "
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,5,2001,"$42,945.33 "
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS - BROWNSVILLE,5,2004,"$42,927.67 "
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,1,2010,"$42,920.67 "
TX,"LINGUISTIC, COMPARATIVE, AND RELATED LANGUAGE STUDIES AND SERVICES",UNIVERSITY OF TEXAS AT DALLAS,1,2007,"$42,917.33 "
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,COLORADO STATE UNIVERSITY-PUEBLO,10,2004,"$42,916.33 "
CO,SOCIOLOGY,UNIVERSITY OF COLORADO-BOULDER,5,2007,"$42,911.33 "
CO,NATURAL RESOURCES CONSERVATION AND RESEARCH,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2007,"$42,911.00 "
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,COLORADO MESA UNIVERSITY,5,1998,"$42,903.33 "
CO,MATHEMATICS,UNIV OF COLORADO AT COLO SPRINGS,1,2001,"$42,900.33 "
TX,RHETORIC AND COMPOSITION/WRITING STUDIES,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2007,"$42,895.33 "
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2007,"$42,889.67 "
TX,SOCIOLOGY,UNIVERSITY OF TEXAS - BROWNSVILLE,10,2001,"$42,889.00 "
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS AT TYLER,10,2004,"$42,888.67 "
CO,POLITICAL SCIENCE AND GOVERNMENT,ADAMS STATE COLLEGE,5,2007,"$42,887.33 "
CO,JOURNALISM,COLORADO STATE UNIVERSITY,5,2004,"$42,870.67 "
TX,BUSINESS/MANAGERIAL ECONOMICS,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2001,"$42,869.67 "
CO,"BIOLOGY, GENERAL",UNIVERSITY OF NORTHERN COLORADO,5,1998,"$42,866.00 "
CO,HISTORY,WESTERN STATE COLORADO UNIVERSITY,5,1998,"$42,861.33 "
CO,"EAST ASIAN LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF COLORADO-BOULDER,5,2004,"$42,854.00 "
TX,FINE AND STUDIO ARTS,UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$42,845.33 "
CO,NATURAL RESOURCES MANAGEMENT AND POLICY,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,"$42,839.00 "
TX,COMMUNICATION DISORDERS SCIENCES AND SERVICES,UNIVERSITY OF TEXAS - PAN AMERICAN,1,2001,"$42,834.00 "
CO,"BIOLOGY, GENERAL",ADAMS STATE COLLEGE,5,2001,"$42,833.33 "
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS-ARLINGTON,1,2013,"$42,830.00 "
TX,MUSIC,UNIVERSITY OF TEXAS-ARLINGTON,1,2004,"$42,826.00 "
CO,HISTORY,COLORADO STATE UNIVERSITY,5,1998,"$42,807.00 "
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,5,2004,"$42,801.00 "
TX,CHEMISTRY,UNIVERSITY OF TEXAS-AUSTIN,1,2001,"$42,797.00 "
CO,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF NORTHERN COLORADO,5,1998,"$42,787.00 "
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2007,"$42,779.33 "
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS AT DALLAS,1,2010,"$42,765.67 "
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2001,"$42,757.67 "
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-ARLINGTON,1,2001,"$42,751.00 "
CO,"BUSINESS/COMMERCE, GENERAL",WESTERN STATE COLORADO UNIVERSITY,5,2007,"$42,751.00 "
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-AUSTIN,1,2001,"$42,740.00 "
TX,HISTORY,UNIVERSITY OF TEXAS - PAN AMERICAN,1,2013,"$42,737.33 "
CO,"BIOLOGY, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,5,2001,"$42,734.33 "
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2001,"$42,728.33 "
CO,SOCIAL WORK,COLORADO STATE UNIVERSITY-PUEBLO,5,1998,"$42,725.67 "
CO,CIVIL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,1,2010,"$42,715.67 "
CO,ECONOMICS,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2013,"$42,715.33 "
CO,POLITICAL SCIENCE AND GOVERNMENT,COLORADO STATE UNIVERSITY,5,2007,"$42,705.33 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS AT TYLER,1,2001,"$42,700.67 "
CO,COMMUNICATION AND MEDIA STUDIES,COLORADO STATE UNIVERSITY-PUEBLO,5,1998,"$42,690.33 "
CO,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES,UNIVERSITY OF NORTHERN COLORADO,5,2004,"$42,686.33 "
CO,RHETORIC AND COMPOSITION/WRITING STUDIES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,"$42,681.33 "
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,5,2001,"$42,662.67 "
CO,ACCOUNTING AND RELATED SERVICES,FORT LEWIS COLLEGE,1,2004,"$42,649.67 "
TX,ANTHROPOLOGY,UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$42,648.67 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-EL PASO,1,2013,"$42,647.67 "
CO,ELECTRICAL ENGINEERING TECHNOLOGIES/TECHNICIANS,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2007,"$42,632.33 "
TX,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF TEXAS-AUSTIN,1,2004,"$42,628.33 "
TX,"HUMAN DEVELOPMENT, FAMILY STUDIES, AND RELATED SERVICES",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2004,"$42,627.00 "
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,1,2007,"$42,616.00 "
TX,INTERNATIONAL BUSINESS,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,"$42,608.67 "
CO,NATURAL RESOURCES CONSERVATION AND RESEARCH,UNIVERSITY OF COLORADO-BOULDER,5,2001,"$42,607.00 "
TX,INTERNATIONAL/GLOBAL STUDIES,UNIVERSITY OF TEXAS-AUSTIN,1,2013,"$42,594.33 "
TX,HISTORY,UNIVERSITY OF TEXAS - BROWNSVILLE,5,2007,"$42,588.33 "
TX,"VISUAL AND PERFORMING ARTS, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,1,2001,"$42,582.33 "
TX,MATHEMATICS,UNIVERSITY OF TEXAS-EL PASO,1,2001,"$42,577.67 "
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIVERSITY OF TEXAS - PAN AMERICAN,1,2001,"$42,576.33 "
TX,HISTORY,UNIVERSITY OF TEXAS-PERMIAN BASIN,1,2007,"$42,571.00 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-ARLINGTON,1,2010,"$42,570.33 "
CO,"HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES, OTHER",UNIV OF COLORADO AT COLO SPRINGS,5,2004,"$42,566.33 "
CO,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY",COLORADO STATE UNIVERSITY,5,2007,"$42,563.00 "
CO,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2007,"$42,560.00 "
CO,JOURNALISM,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,"$42,543.33 "
TX,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,UNIVERSITY OF TEXAS-ARLINGTON,1,2007,"$42,540.67 "
CO,CHEMISTRY,COLORADO STATE UNIVERSITY,5,2007,"$42,535.33 "
CO,ANTHROPOLOGY,COLORADO STATE UNIVERSITY,10,2001,"$42,533.00 "
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS-SAN ANTONIO,5,2001,"$42,532.00 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2010,"$42,521.33 "
CO,DIETETICS AND CLINICAL NUTRITION SERVICES,UNIVERSITY OF NORTHERN COLORADO,10,2004,"$42,512.00 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS AT TYLER,1,2010,"$42,499.33 "
CO,HISTORY,METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,"$42,493.00 "
TX,INTERIOR ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,1,2001,"$42,473.00 "
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2004,"$42,468.33 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS AT TYLER,1,2010,"$42,462.00 "
CO,"BIOLOGY, GENERAL",COLORADO MESA UNIVERSITY,5,2007,"$42,451.33 "
CO,NATURAL RESOURCES CONSERVATION AND RESEARCH,UNIVERSITY OF COLORADO-BOULDER,5,2004,"$42,448.00 "
TX,PUBLIC ADMINISTRATION,UNIVERSITY OF TEXAS AT DALLAS,1,2004,"$42,443.00 "
TX,MUSIC,UNIVERSITY OF TEXAS-ARLINGTON,1,2013,"$42,437.33 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",METROPOLITAN STATE UNIVERSITY OF DENVER,1,2004,"$42,426.00 "
TX,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",UNIVERSITY OF TEXAS-AUSTIN,1,2001,"$42,384.67 "
CO,ENVIRONMENTAL DESIGN,UNIVERSITY OF COLORADO-BOULDER,5,2004,"$42,383.00 "
TX,MARKETING,UNIVERSITY OF TEXAS AT DALLAS,1,2010,"$42,382.00 "
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS - BROWNSVILLE,1,2007,"$42,375.00 "
CO,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF NORTHERN COLORADO,5,2007,"$42,353.33 "
CO,HISTORY,UNIVERSITY OF COLORADO-BOULDER,5,2001,"$42,352.33 "
TX,JOURNALISM,UNIVERSITY OF TEXAS-ARLINGTON,1,2001,"$42,351.67 "
CO,ACCOUNTING AND RELATED SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2007,"$42,350.00 "
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2007,"$42,337.33 "
TX,INTERNATIONAL BUSINESS,UNIVERSITY OF TEXAS - PAN AMERICAN,1,2001,"$42,335.67 "
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,"$42,334.67 "
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2001,"$42,332.67 "
CO,CIVIL ENGINEERING,UNIVERSITY OF COLORADO DENVER,1,2010,"$42,289.67 "
CO,SOCIAL WORK,COLORADO STATE UNIVERSITY-PUEBLO,10,2001,"$42,284.67 "
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS-AUSTIN,1,2013,"$42,276.00 "
CO,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF COLORADO-BOULDER,5,2007,"$42,265.00 "
CO,"BIOLOGY, GENERAL",WESTERN STATE COLORADO UNIVERSITY,5,2001,"$42,263.00 "
TX,DIETETICS AND CLINICAL NUTRITION SERVICES,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,"$42,256.00 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2001,"$42,243.67 "
CO,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF NORTHERN COLORADO,5,1998,"$42,221.33 "
CO,ANIMAL SCIENCES,COLORADO STATE UNIVERSITY,5,2004,"$42,220.67 "
TX,MARKETING,UNIVERSITY OF TEXAS - PAN AMERICAN,1,2004,"$42,206.67 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2007,"$42,203.33 "
TX,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2001,"$42,199.33 "
TX,MUSIC,UNIVERSITY OF TEXAS-AUSTIN,1,2007,"$42,199.00 "
CO,MUSIC,UNIVERSITY OF COLORADO-BOULDER,5,2004,"$42,182.33 "
CO,LANDSCAPE ARCHITECTURE,COLORADO STATE UNIVERSITY,1,2001,"$42,178.33 "
TX,INTERIOR ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,1,2004,"$42,173.00 "
CO,HISTORY,UNIVERSITY OF COLORADO DENVER,5,2007,"$42,172.33 "
CO,ACCOUNTING AND RELATED SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2010,"$42,166.33 "
CO,"FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES, GENERAL",COLORADO STATE UNIVERSITY,5,2004,"$42,166.00 "
TX,HISTORY,UNIVERSITY OF TEXAS - BROWNSVILLE,10,2004,"$42,156.67 "
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF COLORADO-BOULDER,5,2004,"$42,156.00 "
CO,"VISUAL AND PERFORMING ARTS, GENERAL",COLORADO MESA UNIVERSITY,10,2001,"$42,143.33 "
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,5,2007,"$42,133.67 "
TX,CRIMINOLOGY,UNIVERSITY OF TEXAS AT DALLAS,1,2007,"$42,130.33 "
CO,RHETORIC AND COMPOSITION/WRITING STUDIES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2001,"$42,129.33 "
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,"$42,107.67 "
CO,ACCOUNTING AND RELATED SERVICES,COLORADO MESA UNIVERSITY,5,2007,"$42,107.67 "
CO,SOCIOLOGY,UNIVERSITY OF NORTHERN COLORADO,5,2001,"$42,102.67 "
CO,NATURAL RESOURCES CONSERVATION AND RESEARCH,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2004,"$42,098.33 "
TX,ARCHEOLOGY,UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$42,083.33 "
TX,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF TEXAS - BROWNSVILLE,5,2007,"$42,077.00 "
TX,COMPUTER SCIENCE,UNIVERSITY OF TEXAS - PAN AMERICAN,1,2004,"$42,062.00 "
TX,CRIMINAL JUSTICE AND CORRECTIONS,UNIVERSITY OF TEXAS AT TYLER,1,2001,"$42,057.00 "
CO,FINE AND STUDIO ARTS,UNIVERSITY OF COLORADO DENVER,10,1998,"$42,048.00 "
CO,COMMUNICATION AND MEDIA STUDIES,COLORADO MESA UNIVERSITY,5,2001,"$42,046.67 "
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS AT TYLER,5,2001,"$42,045.33 "
CO,SOCIOLOGY,COLORADO MESA UNIVERSITY,5,1998,"$42,039.00 "
TX,"RADIO, TELEVISION, AND DIGITAL COMMUNICATION",UNIVERSITY OF TEXAS-ARLINGTON,1,2001,"$42,030.33 "
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS AT TYLER,5,2001,"$42,025.67 "
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS-PERMIAN BASIN,1,2013,"$42,007.33 "
TX,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,UNIVERSITY OF TEXAS - PAN AMERICAN,1,2010,"$42,002.33 "
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS-EL PASO,1,2010,"$42,001.00 "
TX,HUMAN RESOURCES MANAGEMENT AND SERVICES,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2007,"$41,998.00 "
TX,INFORMATION SCIENCE/STUDIES,UNIVERSITY OF TEXAS - BROWNSVILLE,1,2013,"$41,985.67 "
TX,INTERNATIONAL BUSINESS,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2013,"$41,984.67 "
CO,MECHANICAL ENGINEERING RELATED TECHNOLOGIES/TECHNICIANS,COLORADO STATE UNIVERSITY-PUEBLO,1,2007,"$41,975.33 "
CO,PHILOSOPHY,UNIVERSITY OF COLORADO-BOULDER,5,2007,"$41,974.67 "
TX,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF TEXAS-AUSTIN,1,2013,"$41,973.33 "
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2004,"$41,969.00 "
CO,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",COLORADO STATE UNIVERSITY,5,2007,"$41,953.33 "
TX,MARKETING,UNIVERSITY OF TEXAS-ARLINGTON,1,2007,"$41,911.67 "
CO,HISTORY,UNIVERSITY OF COLORADO-BOULDER,5,2004,"$41,911.33 "
CO,"BIOLOGY, GENERAL",FORT LEWIS COLLEGE,5,2004,"$41,906.00 "
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIV OF TEXAS SOUTHWESTERN MED CTR,1,2001,"$41,893.00 "
TX,"VISUAL AND PERFORMING ARTS, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$41,885.33 "
CO,HISTORY,WESTERN STATE COLORADO UNIVERSITY,5,2001,"$41,878.67 "
CO,CIVIL ENGINEERING TECHNOLOGIES/TECHNICIANS,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2010,"$41,867.33 "
CO,FINANCE AND FINANCIAL MANAGEMENT SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2001,"$41,864.33 "
