State,Program,College/University,Years Post Grad,Cohort,Average Earnings($)
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",COLORADO STATE UNIVERSITY,10,1998,100857
TX,COMPUTER ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2004,100644
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,1998,100183
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,1,2010,99947
CO,"ENGINEERING, GENERAL",COLORADO SCHOOL OF MINES,10,1998,99650
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,99197
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,2007,99196
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,5,2007,99023
TX,COMPUTER ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,98988
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,2001,98784
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,10,2001,98758
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,1,2013,98465
TX,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,UNIVERSITY OF TEXAS-AUSTIN,10,2004,98428
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO DENVER,10,1998,98265
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIV OF COLORADO AT COLO SPRINGS,10,1998,98018
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",COLORADO STATE UNIVERSITY,10,1998,97954
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,97918
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,97651
CO,ECONOMICS,COLORADO SCHOOL OF MINES,10,2004,97619
CO,APPLIED MATHEMATICS,UNIVERSITY OF COLORADO-BOULDER,10,2001,97594
CO,MECHANICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,2001,97466
CO,"ENGINEERING, GENERAL",COLORADO SCHOOL OF MINES,10,2001,97287
TX,MARKETING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,97239
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,1,2004,97231
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,10,2004,97096
CO,METALLURGICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,1998,97052
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2007,97048
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",COLORADO STATE UNIVERSITY,10,2004,96896
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2001,96880
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO-BOULDER,10,2004,96875
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2004,96874
CO,COMPUTER SCIENCE,UNIVERSITY OF COLORADO DENVER,10,1998,96738
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,5,2001,96707
CO,CHEMICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2001,96594
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UT HEALTH CENTER-SAN ANTONIO,10,2004,96465
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2004,96298
TX,ARCHITECTURAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2001,96035
TX,PHYSICS,UNIVERSITY OF TEXAS-AUSTIN,10,2004,95980
CO,CONSTRUCTION ENGINEERING TECHNOLOGIES,COLORADO STATE UNIVERSITY,10,1998,95951
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2004,95726
TX,CHEMISTRY,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,95725
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS - BROWNSVILLE,1,2004,95656
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,10,2004,95538
CO,ENGINEERING PHYSICS,COLORADO SCHOOL OF MINES,10,2004,95463
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",COLORADO STATE UNIVERSITY,10,2001,95340
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,1998,95309
