State,Program,College/University,Years Post Grad,Cohort,Average Earnings($)
CO,MATHEMATICS,UNIV OF COLORADO AT COLO SPRINGS,5,2004,46956
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2001,46954
TX,JOURNALISM,UNIVERSITY OF TEXAS AT TYLER,10,2001,46951
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",COLORADO MESA UNIVERSITY,5,2001,46944
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2001,46944
CO,COMMUNICATION AND MEDIA STUDIES,WESTERN STATE COLORADO UNIVERSITY,10,2001,46932
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",COLORADO STATE UNIVERSITY,10,2004,46924
TX,"RADIO, TELEVISION, AND DIGITAL COMMUNICATION",UNIVERSITY OF TEXAS-AUSTIN,5,2007,46922
CO,COMMUNICATION AND MEDIA STUDIES,COLORADO MESA UNIVERSITY,5,1998,46906
CO,SOCIOLOGY,COLORADO STATE UNIVERSITY,5,1998,46899
CO,INFORMATION SCIENCE/STUDIES,COLORADO STATE UNIVERSITY-PUEBLO,1,2013,46895
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS - BROWNSVILLE,10,2004,46891
CO,POLITICAL SCIENCE AND GOVERNMENT,METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,46886
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS - BROWNSVILLE,10,2004,46883
TX,DIETETICS AND CLINICAL NUTRITION SERVICES,UNIV OF TEXAS SOUTHWESTERN MED CTR,1,2010,46880
CO,"SOCIAL SCIENCES, GENERAL",UNIVERSITY OF NORTHERN COLORADO,10,1998,46880
CO,MATHEMATICS,COLORADO STATE UNIVERSITY,5,1998,46874
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,5,2004,46868
TX,"RADIO, TELEVISION, AND DIGITAL COMMUNICATION",UNIVERSITY OF TEXAS-AUSTIN,5,2004,46868
TX,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2001,46861
TX,ANTHROPOLOGY,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,46858
CO,CIVIL ENGINEERING TECHNOLOGIES/TECHNICIANS,COLORADO STATE UNIVERSITY-PUEBLO,1,2010,46857
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2004,46856
TX,HISTORY,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2001,46854
CO,"BUSINESS/COMMERCE, GENERAL",COLORADO STATE UNIVERSITY-PUEBLO,5,2001,46848
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS-SAN ANTONIO,5,2001,46826
TX,"RADIO, TELEVISION, AND DIGITAL COMMUNICATION",UNIVERSITY OF TEXAS-AUSTIN,5,2001,46825
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,46824
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-ARLINGTON,1,2004,46824
CO,"BUSINESS/COMMERCE, GENERAL",ADAMS STATE COLLEGE,5,2004,46818
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS - BROWNSVILLE,10,2001,46815
CO,COMMUNICATION AND MEDIA STUDIES,COLORADO MESA UNIVERSITY,10,2004,46795
CO,MUSIC,UNIVERSITY OF NORTHERN COLORADO,10,1998,46793
TX,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2007,46790
CO,"BIOLOGY, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,5,1998,46787
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-AUSTIN,1,2001,46764
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2001,46759
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS - BROWNSVILLE,10,2004,46752
CO,ACCOUNTING AND RELATED SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2004,46744
TX,MARKETING,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,46728
TX,CRIMINAL JUSTICE AND CORRECTIONS,UNIVERSITY OF TEXAS - BROWNSVILLE,10,2004,46718
TX,"ETHNIC, CULTURAL MINORITY, GENDER, AND GROUP STUDIES",UNIVERSITY OF TEXAS-AUSTIN,5,2004,46709
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,46704
TX,HISTORY,UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2007,46698
CO,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIVERSITY OF NORTHERN COLORADO,10,2001,46698
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",METROPOLITAN STATE UNIVERSITY OF DENVER,1,1998,46694
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS AT TYLER,5,2001,46685
CO,MATHEMATICS,UNIVERSITY OF NORTHERN COLORADO,5,2007,46669
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2004,46666
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-AUSTIN,1,2004,46663
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS-AUSTIN,1,2001,46661
TX,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2004,46660
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS AT TYLER,5,2007,46654
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,COLORADO MESA UNIVERSITY,10,2001,46643
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS - BROWNSVILLE,10,2001,46638
CO,RHETORIC AND COMPOSITION/WRITING STUDIES,COLORADO STATE UNIVERSITY,5,2004,46632
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,46631
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-SAN ANTONIO,5,2007,46630
CO,"PSYCHOLOGY, GENERAL",METROPOLITAN STATE UNIVERSITY OF DENVER,10,2004,46628
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2004,46609
TX,CRIMINAL JUSTICE AND CORRECTIONS,UNIVERSITY OF TEXAS AT TYLER,5,2004,46603
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",FORT LEWIS COLLEGE,10,1998,46602
CO,CRIMINAL JUSTICE AND CORRECTIONS,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2001,46600
CO,"BIOLOGY, GENERAL",UNIVERSITY OF COLORADO-BOULDER,5,1998,46599
CO,ECONOMICS,UNIVERSITY OF NORTHERN COLORADO,5,2007,46596
TX,ECONOMICS,UNIVERSITY OF TEXAS-ARLINGTON,1,2001,46592
CO,AGRICULTURAL BUSINESS AND MANAGEMENT,COLORADO STATE UNIVERSITY,5,2001,46586
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS - BROWNSVILLE,10,2004,46586
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2004,46584
TX,NEUROBIOLOGY AND NEUROSCIENCES,UNIVERSITY OF TEXAS AT DALLAS,5,2007,46580
CO,"BIOLOGY, GENERAL",METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,46576
TX,MARKETING,UNIVERSITY OF TEXAS-AUSTIN,1,2004,46575
TX,SOCIAL WORK,UNIVERSITY OF TEXAS-AUSTIN,5,2004,46565
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-PERMIAN BASIN,1,2001,46559
CO,INTERNATIONAL/GLOBAL STUDIES,UNIVERSITY OF COLORADO DENVER,5,2007,46556
CO,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY",COLORADO STATE UNIVERSITY,5,2001,46555
CO,SOCIAL WORK,METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,46548
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-ARLINGTON,1,2007,46531
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO DENVER,1,1998,46530
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,WESTERN STATE COLORADO UNIVERSITY,5,1998,46524
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-AUSTIN,1,2013,46513
TX,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,UNIV OF TEXAS MEDICAL BRANCH,1,2001,46462
CO,CIVIL ENGINEERING TECHNOLOGIES/TECHNICIANS,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2007,46453
TX,CHEMISTRY,UNIVERSITY OF TEXAS AT DALLAS,1,2013,46450
CO,ECONOMICS,UNIVERSITY OF NORTHERN COLORADO,5,2001,46447
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS-ARLINGTON,1,2007,46440
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,5,2004,46436
CO,AGRICULTURAL BUSINESS AND MANAGEMENT,COLORADO STATE UNIVERSITY,5,2007,46417
TX,CRIMINAL JUSTICE AND CORRECTIONS,UNIVERSITY OF TEXAS - BROWNSVILLE,10,2001,46412
CO,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF NORTHERN COLORADO,5,1998,46408
CO,RESEARCH AND EXPERIMENTAL PSYCHOLOGY,UNIVERSITY OF COLORADO DENVER,5,2007,46395
CO,"BIOLOGY, GENERAL",UNIVERSITY OF COLORADO DENVER,5,2001,46385
TX,SOCIOLOGY,UNIVERSITY OF TEXAS-PERMIAN BASIN,10,2001,46385
TX,URBAN STUDIES/AFFAIRS,UNIVERSITY OF TEXAS-AUSTIN,5,2007,46381
TX,MARKETING,UNIVERSITY OF TEXAS - BROWNSVILLE,5,2004,46366
TX,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,46363
CO,"PSYCHOLOGY, GENERAL",UNIVERSITY OF COLORADO-BOULDER,5,1998,46363
CO,PHILOSOPHY,UNIVERSITY OF COLORADO-BOULDER,5,2001,46358
CO,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2004,46351
CO,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF COLORADO DENVER,5,2001,46342
TX,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2004,46333
TX,SOCIAL WORK,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2001,46322
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-PERMIAN BASIN,1,2007,46319
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2004,46311
TX,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,UT HEALTH CENTER-SAN ANTONIO,1,2004,46304
CO,SOCIOLOGY,UNIV OF COLORADO AT COLO SPRINGS,10,2001,46295
TX,MUSIC,UNIVERSITY OF TEXAS-EL PASO,1,2007,46294
TX,JOURNALISM,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,46293
TX,MUSIC,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2007,46291
CO,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES,UNIVERSITY OF NORTHERN COLORADO,5,1998,46289
TX,SOCIOLOGY,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2001,46283
CO,CELL/CELLULAR BIOLOGY AND ANATOMICAL SCIENCES,UNIVERSITY OF COLORADO-BOULDER,5,2004,46282
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS-ARLINGTON,5,2007,46278
CO,ANTHROPOLOGY,COLORADO STATE UNIVERSITY,10,2004,46265
CO,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,COLORADO STATE UNIVERSITY,5,2001,46261
CO,POLITICAL SCIENCE AND GOVERNMENT,UNIV OF COLORADO AT COLO SPRINGS,5,2004,46246
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS AT DALLAS,1,2010,46245
TX,JOURNALISM,UNIVERSITY OF TEXAS-ARLINGTON,5,2004,46234
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-PERMIAN BASIN,1,2004,46227
TX,HEALTH AND PHYSICAL EDUCATION/FITNESS,UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2004,46223
TX,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF TEXAS-AUSTIN,5,2001,46223
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,46220
TX,"RADIO, TELEVISION, AND DIGITAL COMMUNICATION",UNIVERSITY OF TEXAS AT DALLAS,1,2013,46205
CO,"PSYCHOLOGY, GENERAL",METROPOLITAN STATE UNIVERSITY OF DENVER,10,2001,46181
TX,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,UNIVERSITY OF TEXAS-EL PASO,1,2010,46177
TX,HISTORY,UNIVERSITY OF TEXAS AT DALLAS,1,2001,46176
CO,POLITICAL SCIENCE AND GOVERNMENT,COLORADO STATE UNIVERSITY,5,2004,46175
CO,MATHEMATICS,UNIVERSITY OF NORTHERN COLORADO,5,1998,46165
CO,HISTORY,COLORADO MESA UNIVERSITY,10,2001,46160
CO,WILDLIFE AND WILDLANDS SCIENCE AND MANAGEMENT,COLORADO STATE UNIVERSITY,10,2004,46157
TX,MARKETING,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2001,46156
TX,MATHEMATICS,UNIVERSITY OF TEXAS-EL PASO,1,2010,46149
TX,SOCIAL WORK,UNIVERSITY OF TEXAS-EL PASO,5,2001,46144
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS-ARLINGTON,5,2007,46127
CO,CELL/CELLULAR BIOLOGY AND ANATOMICAL SCIENCES,UNIVERSITY OF COLORADO-BOULDER,5,2007,46126
CO,NATURAL SCIENCES,COLORADO STATE UNIVERSITY,5,2007,46121
CO,COMMUNICATION DISORDERS SCIENCES AND SERVICES,UNIVERSITY OF COLORADO-BOULDER,5,2007,46116
CO,"PHYSIOLOGY, PATHOLOGY AND RELATED SCIENCES",UNIVERSITY OF COLORADO-BOULDER,5,2007,46109
TX,SOCIAL WORK,UNIVERSITY OF TEXAS-ARLINGTON,10,2004,46092
CO,"BUSINESS/COMMERCE, GENERAL",COLORADO MESA UNIVERSITY,5,2004,46092
TX,DIETETICS AND CLINICAL NUTRITION SERVICES,UNIV OF TEXAS SOUTHWESTERN MED CTR,1,2007,46081
TX,ECONOMICS,UNIVERSITY OF TEXAS AT DALLAS,1,2010,46077
CO,FORESTRY,COLORADO STATE UNIVERSITY,5,1998,46073
CO,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",COLORADO STATE UNIVERSITY,10,2001,46073
CO,ECONOMICS,UNIVERSITY OF COLORADO DENVER,5,1998,46060
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",COLORADO STATE UNIVERSITY,1,1998,46030
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-PERMIAN BASIN,1,2010,46029
CO,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,46020
CO,"PARKS, RECREATION AND LEISURE FACILITIES MANAGEMENT",UNIVERSITY OF NORTHERN COLORADO,10,2004,46017
TX,REAL ESTATE,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2010,46016
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS-PERMIAN BASIN,10,2001,46013
TX,DIETETICS AND CLINICAL NUTRITION SERVICES,UNIV OF TEXAS SOUTHWESTERN MED CTR,1,2004,46002
CO,AGRICULTURAL BUSINESS AND MANAGEMENT,COLORADO STATE UNIVERSITY,5,1998,45984
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,ADAMS STATE COLLEGE,10,2001,45964
CO,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",FORT LEWIS COLLEGE,10,2001,45953
TX,RESEARCH AND EXPERIMENTAL PSYCHOLOGY,UNIVERSITY OF TEXAS AT DALLAS,5,2007,45948
CO,SOCIAL WORK,COLORADO STATE UNIVERSITY,10,1998,45947
CO,"HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES, OTHER",UNIV OF COLORADO AT COLO SPRINGS,10,2004,45934
TX,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY",UNIVERSITY OF TEXAS AT DALLAS,5,2007,45920
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS AT DALLAS,1,2004,45913
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS AT TYLER,1,2013,45912
CO,INFORMATION SCIENCE/STUDIES,COLORADO STATE UNIVERSITY-PUEBLO,1,2007,45906
CO,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF COLORADO-BOULDER,5,1998,45900
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",COLORADO STATE UNIVERSITY,10,2001,45894
CO,JOURNALISM,UNIVERSITY OF NORTHERN COLORADO,5,1998,45883
CO,COMMUNICATION AND MEDIA STUDIES,UNIV OF COLORADO AT COLO SPRINGS,10,2004,45881
TX,"SOCIAL SCIENCES, GENERAL",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,45878
TX,MATHEMATICS,UNIVERSITY OF TEXAS-EL PASO,1,2004,45864
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,COLORADO STATE UNIVERSITY,5,2001,45861
CO,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",METROPOLITAN STATE UNIVERSITY OF DENVER,5,2001,45856
CO,POLITICAL SCIENCE AND GOVERNMENT,UNIV OF COLORADO AT COLO SPRINGS,5,1998,45850
TX,CHEMISTRY,UNIVERSITY OF TEXAS-AUSTIN,1,2013,45842
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",METROPOLITAN STATE UNIVERSITY OF DENVER,10,2001,45834
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS - BROWNSVILLE,5,2004,45829
TX,RHETORIC AND COMPOSITION/WRITING STUDIES,UNIVERSITY OF TEXAS-ARLINGTON,1,2013,45808
TX,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF TEXAS-EL PASO,5,2004,45807
CO,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF COLORADO DENVER,5,2004,45799
CO,SOCIAL WORK,COLORADO STATE UNIVERSITY,10,2004,45797
TX,SOCIAL WORK,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,45792
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS-EL PASO,5,2001,45782
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,5,2007,45782
CO,MUSIC,UNIVERSITY OF NORTHERN COLORADO,10,2001,45774
CO,"HUMAN DEVELOPMENT, FAMILY STUDIES, AND RELATED SERVICES",COLORADO STATE UNIVERSITY,10,2004,45773
TX,HEALTH AND PHYSICAL EDUCATION/FITNESS,UNIVERSITY OF TEXAS - BROWNSVILLE,5,2001,45768
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS AT TYLER,1,2007,45765
CO,INTERNATIONAL/GLOBAL STUDIES,UNIVERSITY OF COLORADO-BOULDER,5,2007,45764
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,2004,45758
TX,ECONOMICS,UNIVERSITY OF TEXAS AT DALLAS,1,2004,45746
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",COLORADO MESA UNIVERSITY,10,1998,45740
CO,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY",UNIVERSITY OF COLORADO-BOULDER,5,2007,45730
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS-EL PASO,1,2007,45724
CO,FINE AND STUDIO ARTS,UNIVERSITY OF NORTHERN COLORADO,10,1998,45723
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIV OF TEXAS SOUTHWESTERN MED CTR,1,2007,45717
TX,INTERNATIONAL BUSINESS,UNIVERSITY OF TEXAS-ARLINGTON,1,2004,45703
CO,ACCOUNTING AND RELATED SERVICES,COLORADO STATE UNIVERSITY-PUEBLO,1,2013,45702
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,45693
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS AT TYLER,1,2004,45674
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",ADAMS STATE COLLEGE,5,2001,45654
TX,PUBLIC ADMINISTRATION,UNIVERSITY OF TEXAS AT DALLAS,1,2007,45649
CO,ANTHROPOLOGY,COLORADO STATE UNIVERSITY,10,1998,45646
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS-SAN ANTONIO,5,2004,45643
CO,"PSYCHOLOGY, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,2001,45640
CO,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF COLORADO DENVER,5,2004,45640
CO,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF COLORADO-BOULDER,5,2001,45639
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-EL PASO,1,2010,45634
CO,ACCOUNTING AND RELATED SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2001,45626
TX,"ECOLOGY, EVOLUTION, SYSTEMATICS, AND POPULATION BIOLOGY",UNIVERSITY OF TEXAS-AUSTIN,5,2001,45621
TX,RHETORIC AND COMPOSITION/WRITING STUDIES,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2004,45608
CO,POLITICAL SCIENCE AND GOVERNMENT,COLORADO STATE UNIVERSITY,5,2001,45605
TX,ANTHROPOLOGY,UNIVERSITY OF TEXAS-AUSTIN,5,2004,45600
TX,"VISUAL AND PERFORMING ARTS, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,10,2001,45585
CO,"BIOLOGY, GENERAL",COLORADO STATE UNIVERSITY,5,2004,45583
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-EL PASO,1,2001,45578
CO,RHETORIC AND COMPOSITION/WRITING STUDIES,UNIVERSITY OF COLORADO DENVER,5,2004,45574
CO,SOCIOLOGY,UNIVERSITY OF COLORADO-BOULDER,5,1998,45544
CO,"PSYCHOLOGY, GENERAL",WESTERN STATE COLORADO UNIVERSITY,10,2004,45528
CO,FINE AND STUDIO ARTS,COLORADO STATE UNIVERSITY,10,1998,45523
TX,MUSIC,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2001,45512
TX,CRIMINAL JUSTICE AND CORRECTIONS,UNIVERSITY OF TEXAS - BROWNSVILLE,5,2004,45501
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,COLORADO STATE UNIVERSITY,5,2007,45499
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,45495
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2007,45494
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2007,45485
CO,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,COLORADO STATE UNIVERSITY,5,2004,45473
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS AT DALLAS,1,2010,45464
TX,HISTORY,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,45464
TX,"LINGUISTIC, COMPARATIVE, AND RELATED LANGUAGE STUDIES AND SERVICES",UNIVERSITY OF TEXAS-AUSTIN,5,2007,45464
CO,SOCIOLOGY,COLORADO STATE UNIVERSITY-PUEBLO,5,1998,45462
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS-ARLINGTON,1,2013,45460
TX,INTERNATIONAL BUSINESS,UNIVERSITY OF TEXAS-ARLINGTON,1,2007,45446
CO,SOCIOLOGY,ADAMS STATE COLLEGE,10,2004,45443
CO,FINE AND STUDIO ARTS,COLORADO STATE UNIVERSITY,10,2001,45441
CO,"BIOLOGY, GENERAL",COLORADO STATE UNIVERSITY-PUEBLO,5,2001,45414
TX,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2007,45412
CO,SOCIOLOGY,UNIVERSITY OF COLORADO-BOULDER,5,2004,45412
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF COLORADO AT COLO SPRINGS,1,2010,45411
CO,RHETORIC AND COMPOSITION/WRITING STUDIES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,45408
TX,MATHEMATICS,UNIVERSITY OF TEXAS - PAN AMERICAN,1,2010,45402
CO,SOCIOLOGY,UNIV OF COLORADO AT COLO SPRINGS,10,2004,45400
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS - BROWNSVILLE,5,2001,45362
TX,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",UNIVERSITY OF TEXAS - BROWNSVILLE,10,2004,45361
TX,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF TEXAS-EL PASO,5,2004,45360
TX,HISTORY,UNIVERSITY OF TEXAS AT TYLER,5,2001,45355
CO,CRIMINAL JUSTICE AND CORRECTIONS,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2007,45345
CO,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF COLORADO-BOULDER,5,1998,45332
CO,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES,FORT LEWIS COLLEGE,1,2010,45330
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2007,45316
CO,"BIOLOGY, GENERAL",COLORADO STATE UNIVERSITY,5,1998,45308
TX,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF TEXAS-ARLINGTON,1,2001,45305
